model,hf_path,embedding_LVS,embedding_LVS_lo,embedding_LVS_hi,embedding_LVS_median,embedding_LVS_median_lo,embedding_LVS_median_hi,mid_LVS,mid_LVS_lo,mid_LVS_hi,mid_LVS_median,mid_LVS_median_lo,mid_LVS_median_hi,last_LVS,last_LVS_lo,last_LVS_hi,last_LVS_median,last_LVS_median_lo,last_LVS_median_hi
alpaca-7b-reproduced,wxjiao/alpaca-7b,140.95092093585302,99.01641709281529,185.70313140461107,0.0,0.0,0.0,2.743800240411286,1.7166169567763647,3.920031654764929,0.0,0.0,0.0,340.3789693950036,181.26284329590058,547.7174172920367,0.0,0.0,0.0
sacpo-alpaca-7b,line-corporation/sacpo,47.31399994599984,36.10585106113293,59.21363448513371,0.0,0.0,13.880424609255215,3.543563182780014,2.723593173698524,4.485223576134458,0.0,0.0,0.0,11.952188985958546,0.0,31.55656695787564,0.0,0.0,0.0
p-sacpo-alpaca-7b,line-corporation/p-sacpo,140.64412304842807,107.35818311552903,178.3242955581542,0.0,0.0,29.69545141988582,3.6582345830444414,2.7728113904672544,4.647869060935932,0.0,0.0,0.0,39.074313613589624,8.353007124309043,78.18952237904114,0.0,0.0,0.0
beaver-7b-v3.0,PKU-Alignment/beaver-7b-v3.0,140.5163905662968,99.34418161461704,185.45395485581759,0.0,0.0,0.0,3.494064140564726,2.6391858883165558,4.51974541807379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
