model,hf_path,embedding_LVS,embedding_LVS_lo,embedding_LVS_hi,embedding_LVS_median,embedding_LVS_median_lo,embedding_LVS_median_hi,mid_LVS,mid_LVS_lo,mid_LVS_hi,mid_LVS_median,mid_LVS_median_lo,mid_LVS_median_hi,last_LVS,last_LVS_lo,last_LVS_hi,last_LVS_median,last_LVS_median_lo,last_LVS_median_hi
meta-llama-3-8b-instruct,meta-llama/Meta-Llama-3-8B-Instruct,2.023824991417257,1.2134224819163444,3.0465403423222774,0.0,0.0,0.0,4.592990596597252,3.5890014990840546,5.587711710027136,1.46440775536164,0.27961616162634073,2.212128918156739,0.0,0.0,0.0,0.0,0.0,0.0
llama-3-8b-instruct-rr,GraySwanAI/Llama-3-8B-Instruct-RR,9.5494353683013,7.280267772592601,12.055626294754633,0.0,0.0,1.3192595714701156,2.6410995025815067,2.1707546926782464,3.078774170167145,0.5486708753819216,0.0,1.7184731540909264,0.0,0.0,0.0,0.0,0.0,0.0
llama-3-8b-instruct-abliterated,failspy/Meta-Llama-3-8B-Instruct-abliterated-v3,9.88389544792704,7.514409419739265,12.566547075669032,0.0,0.0,1.8027586041671269,1.611706165512457,1.0658282404298853,2.2615738564895893,0.0,0.0,0.0,72.16979710551817,3.8760651468571234,168.32127729722598,0.0,0.0,0.0
dolphin-2.9-llama-3-8b,cognitivecomputations/dolphin-2.9-llama3-8b,40.07438201069344,29.71135769327203,51.44312132774059,0.0,0.0,6.492667018957354,0.62716142577597,0.3681525391706924,0.9193476555400096,0.0,0.0,0.0,190.48910885155914,95.10480070292874,321.7842769876368,0.0,0.0,15.11696807750652
