step,compliance,refusal,empty
0,0.016666666666666666,0.9833333333333333,0.0
5,0.25,0.75,0.0
10,0.8833333333333333,0.1166666666666667,0.0
15,0.9,0.09999999999999998,0.0
20,0.9,0.09999999999999998,0.0
25,0.8833333333333333,0.1166666666666667,0.0
30,0.8333333333333334,0.16666666666666663,0.0
35,0.9333333333333333,0.06666666666666665,0.0
40,0.95,0.050000000000000044,0.0
45,0.9166666666666666,0.08333333333333337,0.0
50,0.9166666666666666,0.08333333333333337,0.0
55,0.8833333333333333,0.1166666666666667,0.0
60,0.8333333333333334,0.16666666666666663,0.0
65,0.95,0.050000000000000044,0.0
70,0.9,0.09999999999999998,0.0
75,0.8833333333333333,0.1166666666666667,0.0
80,0.85,0.15000000000000002,0.0
85,0.8333333333333334,0.16666666666666663,0.0
90,0.8333333333333334,0.16666666666666663,0.0
95,0.8666666666666667,0.1333333333333333,0.0
100,0.8666666666666667,0.1333333333333333,0.0
105,0.9166666666666666,0.08333333333333337,0.0
110,0.9,0.09999999999999998,0.0
115,0.8833333333333333,0.1166666666666667,0.0
120,0.85,0.15000000000000002,0.0
125,0.9,0.09999999999999998,0.0
130,0.8833333333333333,0.1166666666666667,0.0
135,0.9,0.09999999999999998,0.0
140,0.95,0.050000000000000044,0.0
145,0.95,0.050000000000000044,0.0
150,0.95,0.050000000000000044,0.0
