step,compliance,refusal,empty
0,0.18333333333333332,0.8166666666666667,0.0
5,0.3333333333333333,0.6666666666666667,0.0
10,0.38333333333333336,0.6166666666666667,0.0
15,0.65,0.35,0.0
20,0.7333333333333333,0.2666666666666667,0.0
25,0.9166666666666666,0.08333333333333337,0.0
30,0.9,0.09999999999999998,0.0
35,0.8833333333333333,0.1166666666666667,0.0
40,0.9166666666666666,0.08333333333333337,0.0
45,0.8666666666666667,0.1333333333333333,0.0
50,0.9333333333333333,0.06666666666666665,0.0
55,0.95,0.050000000000000044,0.0
60,0.9166666666666666,0.08333333333333337,0.0
65,0.9166666666666666,0.08333333333333337,0.0
70,0.9166666666666666,0.08333333333333337,0.0
75,0.9166666666666666,0.08333333333333337,0.0
80,0.9166666666666666,0.08333333333333337,0.0
85,0.9166666666666666,0.08333333333333337,0.0
90,0.9166666666666666,0.08333333333333337,0.0
95,0.9166666666666666,0.08333333333333337,0.0
100,0.95,0.050000000000000044,0.0
105,0.8666666666666667,0.1333333333333333,0.0
110,0.9166666666666666,0.08333333333333337,0.0
115,0.95,0.050000000000000044,0.0
120,0.9166666666666666,0.08333333333333337,0.0
125,0.9333333333333333,0.06666666666666665,0.0
130,0.9,0.09999999999999998,0.0
135,0.9333333333333333,0.06666666666666665,0.0
140,0.9166666666666666,0.08333333333333337,0.0
145,0.8833333333333333,0.1166666666666667,0.0
150,0.9166666666666666,0.08333333333333337,0.0
