global_step,clean_refusal,clean_compliance,nudged_compliance,nudge_gap,base_control_gap,reachability_gap,clean_empty_rate,nudged_empty_rate,probe_auroc,sigmoid_gap,kl_to_base,flip,clean_pref_refuse,nudged_pref_comply,n
50,0.94,0.06,0.07,0.010000000000000009,0.020000000000000004,-0.009999999999999995,0.0,0.0,1.0,0.9999998211860657,0.03975934907793999,0.03439822420477867,0.2748524621129036,-0.24045423790812492,100
100,0.54,0.46,0.57,0.10999999999999993,0.020000000000000004,0.08999999999999993,0.0,0.0,1.0,0.9999895691871643,0.1795792430639267,0.05547902174293995,0.38160150311887264,-0.3261224813759327,100
150,0.78,0.22,0.75,0.53,0.020000000000000004,0.51,0.0,0.0,1.0,0.9999896883964539,0.26711246371269226,1.1149506997317076,0.409622672945261,0.7053280267864466,100
200,0.83,0.17,0.71,0.5399999999999999,0.020000000000000004,0.5199999999999999,0.0,0.0,1.0,0.9999991059303284,0.30997759103775024,1.675987333059311,0.5494004525244236,1.1265868805348873,100
250,0.98,0.02,0.88,0.86,0.020000000000000004,0.84,0.0,0.0,1.0,0.9999997615814209,0.33257412910461426,2.20701090618968,0.5917458813637495,1.6152650248259306,100
300,0.89,0.11,0.92,0.81,0.020000000000000004,0.79,0.0,0.0,1.0,0.9999998211860657,0.31909477710723877,2.2289972668513656,0.560445480979979,1.6685517858713865,100
350,1.0,0.0,0.92,0.92,0.020000000000000004,0.9,0.0,0.0,1.0,0.9999998211860657,0.3495951294898987,2.5630576740950346,0.8253507614135742,1.7377069126814604,100
400,0.99,0.01,0.88,0.87,0.020000000000000004,0.85,0.0,0.0,1.0,0.9999999403953552,0.3395346403121948,2.7654195837676525,0.918404983356595,1.8470146004110575,100
450,0.99,0.01,0.92,0.91,0.020000000000000004,0.89,0.0,0.0,1.0,0.9999999403953552,0.3126983046531677,3.1721885912120342,1.1699092891067266,2.0022793021053076,100
500,1.0,0.0,0.85,0.85,0.020000000000000004,0.83,0.0,0.0,1.0,0.9999999403953552,0.3170355558395386,3.351493409834802,1.4055673843249679,1.9459260255098343,100
550,1.0,0.0,0.88,0.88,0.020000000000000004,0.86,0.0,0.0,1.0,1.0,0.29833492636680603,3.615504969842732,1.4613847089931369,2.154120260849595,100
600,1.0,0.0,0.91,0.91,0.020000000000000004,0.89,0.0,0.0,1.0,1.0,0.3179723620414734,3.762621760368347,1.5204086136072874,2.2422131467610598,100
650,1.0,0.0,0.89,0.89,0.020000000000000004,0.87,0.0,0.0,1.0,1.0,0.3196427524089813,3.934119359590113,1.7135712979361415,2.2205480616539717,100
700,1.0,0.0,0.87,0.87,0.020000000000000004,0.85,0.0,0.0,1.0,1.0,0.31682607531547546,3.5452425442636013,1.591490687802434,1.9537518564611673,100
750,1.0,0.0,0.83,0.83,0.020000000000000004,0.8099999999999999,0.0,0.0,1.0,0.9999999403953552,0.307096928358078,3.7198696536943316,1.5680401576682925,2.151829496026039,100
800,1.0,0.0,0.87,0.87,0.020000000000000004,0.85,0.0,0.0,1.0,0.9999999403953552,0.3055307865142822,4.022232045419514,1.9119688784703612,2.110263166949153,100
850,1.0,0.0,0.9,0.9,0.020000000000000004,0.88,0.0,0.0,1.0,1.0,0.3186585605144501,4.067361929453909,1.9966522129252553,2.070709716528654,100
900,1.0,0.0,0.88,0.88,0.020000000000000004,0.86,0.0,0.0,1.0,0.9999999403953552,0.3176230490207672,3.983988872729242,1.9443843169137836,2.0396045558154583,100
950,1.0,0.0,0.87,0.87,0.020000000000000004,0.85,0.0,0.0,1.0,1.0,0.3064800500869751,3.9323437558487058,1.806897790171206,2.1254459656774998,100
1000,0.99,0.01,0.9,0.89,0.020000000000000004,0.87,0.0,0.0,1.0,1.0,0.31714946031570435,3.148932402022183,1.2021534675732255,1.9467789344489574,100
